Local Authority GIAS ID,Local Authority Name,Address Line 1,Address Line 2,Address Line 3,Town/City,Postcode,Local Authority ENG
201,City of London,"PO Box 270, Guildhall",,,London,EC2P 2EJ,LND
202,Camden,218 Eversholt Street,,,London,NW1 1PB,CMD
203,Greenwich,Woolwich Centre,35 Wellington Street,,London,SE18 6HQ,GRE
204,Hackney,1 Reading Lane,,,London,E8 1GQ,HCK
205,Hammersmith and Fulham,145-155 King Street,,,Hammersmith,W6 9XY,HMF
206,Islington,222 Upper Street,,,London,N1 1XR,ISL
207,Kensington and Chelsea,"Children’s Services Department,",Hammersmith Town Hall,King Street,London,W6 9JU,KEC
208,Lambeth,"Lambeth Town Hall, 1st floor",Brixton Hill,,Brixton,SW2 1RW,LBH
209,Lewisham,"1st Floor, Laurence House",1 Catford Road,,London,SE6 4RU,LEW
210,Southwark,160 Tooley Street,,,London,SE1P 5LX,SWK
211,Tower Hamlets,Mulberry Place,,,London,E14 2BG,TWH
212,Wandsworth,The Town Hall,Wandsworth High Street,,London,SW18 2PU,WND
213,Westminster,"4th Floor, 5 The Strand",,,London,WC2N 5HR,WSM
301,Barking and Dagenham,Town Hall,,,Barking,IG11 7LU,BDG
302,Barnet,"Building 4,",North London Business Park,Oakleigh Road South,London,N11 1NP,BNE
303,Bexley,"Civic Offices, 2 Watling Street",,,Bexleyheath,DA6 7AT,BEX
304,Brent,Brent Civic Centre,Engineers Way,,Wembley,HA9 0FJ,BEN
305,Bromley,Bromley Civic Centre,Stockwell Close,,Bromley,BR1 3UH,BRY
306,Croydon,"9th Floor, Zone B,",Bernard Weatherill House,8 Mint Walk,Croydon,CR0 1EA,CRY
307,Ealing,Perceval House,14-16 Uxbridge Road,,London,W5 2HL,EAL
308,Enfield,"PO Box 56, Civic Centre",Silver Street,,Enfield,EN1 3XQ,ENF
309,Haringey,River Park House,225 High Road,,London,N22 8HQ,HRY
310,Harrow,Civic Centre,Station Road,,Harrow,HA1 2XF,HRW
311,Havering,Town Hall,Main Road,,Romford,RM1 3BD,HAV
312,Hillingdon,Civic Centre,High Street,,Uxbridge,UB8 1UW,HIL
313,Hounslow,The Civic Centre,Lampton Road,,Hounslow,TW3 4YN,HNS
314,Kingston upon Thames,42 York Street,,,Twickenham,TW1 3BW,KTT
315,Merton,Merton Civic Centre,London Road,,Morden,SM4 5DX,MRT
316,Newham,Newham Dockside,1000 Dockside Road,,London,E16 2QU,NWM
317,Redbridge,Lynton House,255-259 High Road,,Ilford,IG1 1NN,RDB
318,Richmond upon Thames,44 York Street,,,Twickenham,TW1 3BZ,RIC
319,Sutton,Civic Offices,St Nicholas Way,,Sutton,SM1 1EA,STN
320,Waltham Forest,"Room 206, Town Hall",Forest Road,,London,E17 4JF,WFT
330,Birmingham,Children & Young People Directorate,PO BOX 17550,,Birmingham,B2 2DP,BIR
331,Coventry,Civic Centre 1,Little Park Street,,Coventry,CV1 5RS,COV
332,Dudley,Council House,Priory Road,,Dudley,DY1 1HF,DUD
333,Sandwell,Sandwell Council House,Freeth Street,,Oldbury,B69 3DE,SAW
334,Solihull,Council House,PO Box 20,,Solihull,B91 3QU,SOL
335,Walsall,Council House,Lichfield Street,,Walsall,WS1 1TW,WLL
336,Wolverhampton,Civic Centre,St Peter’s Square,,Wolverhampton,WV1 1RR,WLV
340,Knowsley,Municipal Buildings,Archway Road,,Huyton,L36 9YU,KWL
341,Liverpool,Municipal Buildings,Dale Street,,Liverpool,L2 2DH,LIV
342,St. Helens,"2nd Floor, Gamble Building",Victoria Square,,St Helens,WA10 1DY,SHN
343,Sefton,"9th Floor, Merton House",Stanley Road,,Bootle,L20 3JA,SFT
344,Wirral,Hamilton Building,Conway Street,,Birkenhead,CH41 4FD,WRL
350,Bolton,Town Hall,,,Bolton,BL1 1RU,BOL
351,Bury,3 Knowsley Place,Duke Street,,Bury,BL9 0EJ,BUR
352,Manchester,Town Hall,Albert Square,,Manchester,M60 2LA,MAN
353,Oldham,Civic Centre,West Street,,Oldham,OL1 1XJ,OLD
354,Rochdale,"PO Box 70, Municipal Offices",Smith Street,,Rochdale,OL16 1YD,RCH
355,Salford,"Salford Children’s Services,",Unity House,Chorley Road,Swinton,M27 5AW,SLF
356,Stockport,"Upper Ground Floor, Stopford House",,,Stockport,SK1 3XE,SKP
357,Tameside,Hyde Town Hall,Market Street,,Hyde,SK14 1AL,TAM
358,Trafford,"PO Box 40, Trafford Town Hall",Talbot Rd,,Stretford,M32 OEL,TRF
359,Wigan,Wigan Town Hall,Library Street,,Wigan,WN1 1YN,WGN
370,Barnsley,PO Box 609,,,Barnsley,S70 9FH,BNS
371,Doncaster,The Civic Office,Waterdale,,Doncaster,DN1 3BU,DNC
372,Rotherham,Riverside House,Main Street,,Rotherham,S60 2NE,ROT
373,Sheffield,Town Hall,Pinstone Street,,Sheffield,S1 2HH,SHF
380,Bradford,Margaret McMillan Tower,Princes Way,,Bradford,BD1 1NN,BRD
381,Calderdale,Town Hall,Crossley Street,,Halifax,HX1 1UJ,CLD
382,Kirklees,Civic Centre 111,,,Huddersfield,HD1 2EY,KIR
383,Leeds,Children’s Services,PO BOX 837,,Leeds,LS1 9PZ,LDS
384,Wakefield,County Hall,Bond Street,,Wakefield,WF1 2QW,WKF
390,Gateshead,Civic Centre,Regent Street,,Gateshead,NE8 1HH,GAT
391,Newcastle upon Tyne,Civic Centre,,,Newcastle Upon Tyne,NE1 8QH,NET
392,North Tyneside,Cobalt Business Park,"Quadrant, The Silverlink North",,North Tyneside,NE27 0BY,NTY
393,South Tyneside,"Town Hall, Civic Offices",Westoe Road,,South Shields,NE33 2RL,STY
394,Sunderland,Civic Centre,Burdon Road,,Sunderland,SR2 7DN,SND
420,Isles Of Scilly,Carn Thomas,St Mary’s,,Isles of Scilly,TR21 OPT,IOS
800,Bath and NE Somerset,"PO Box 25, Riverside",Temple Street,,"Keynsham, Bristol",BS31 1DN,BAS
801,"Bristol, City of","PO Box 57, The Council House",College Green,,Bristol,BS99 7EB,BST
